date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type
2019-02-15,NIFTY21FEB1910700CE,SELL,150,114.25,137.1,2019-02-15 09:15:00,77.0,Yes,5587.5,2019-02-15 10:59:00,
2019-02-15,NIFTY21FEB1910700PE,SELL,150,44.0,52.8,2019-02-15 09:15:00,89.75,Yes,-6862.5,2019-02-15 10:59:00,
2019-02-15,NIFTY21FEB1910900CE,SELL,150,30.55,36.66,2019-02-15 09:15:00,15.7,Yes,2227.5,2019-02-15 10:59:00,
2019-02-15,NIFTY21FEB1910900PE,SELL,150,145.7,174.83999999999997,2019-02-15 09:15:00,237.0,Yes,-13695.0,2019-02-15 10:59:00,
2019-02-15,NIFTY21FEB1910500CE,SELL,150,201.2,241.43999999999997,2019-02-15 09:21:00,203.75,Yes,-382.5,2019-02-15 10:59:00,
2019-02-15,NIFTY21FEB1910500PE,SELL,150,8.0,9.6,2019-02-15 09:15:00,29.65,Yes,-3247.5,2019-02-15 10:59:00,Trailing
2019-02-15,DAILY_TOTAL,,900,543.7,652.44,,652.85,,-16372.5,,Trailing
2019-02-11,NIFTY14FEB1910900CE,SELL,150,69.95,83.94,2019-02-11 09:15:00,55.7,Yes,2137.5,2019-02-11 13:13:00,Trailing
2019-02-11,NIFTY14FEB1910900PE,SELL,150,51.55,61.85999999999999,2019-02-11 09:15:00,64.25,Yes,-1905.0,2019-02-11 13:13:00,Trailing
2019-02-11,NIFTY14FEB1911100CE,SELL,150,15.95,19.139999999999997,2019-02-11 09:15:00,2.7,Yes,1987.5,2019-02-11 13:13:00,Trailing
2019-02-11,NIFTY14FEB1911100PE,SELL,150,150.0,180.0,2019-02-11 09:15:00,187.15,Yes,-5572.5,2019-02-11 13:13:00,Trailing
2019-02-11,NIFTY14FEB1910700CE,SELL,150,193.45,232.14,2019-02-11 09:17:00,222.3,Yes,-4327.5,2019-02-11 13:13:00,Trailing
2019-02-11,NIFTY14FEB1910700PE,SELL,150,14.95,17.939999999999998,2019-02-11 09:15:00,8.65,Yes,945.0,2019-02-11 13:13:00,Trailing
2019-02-11,DAILY_TOTAL,,900,495.85,595.02,,540.75,,-6735.0,,Trailing
2019-02-18,NIFTY21FEB1910700CE,SELL,150,113.6,136.32,2019-02-18 09:15:00,52.2,Yes,9210.0,2019-02-18 14:40:00,Trailing
2019-02-18,NIFTY21FEB1910700PE,SELL,150,65.5,78.6,2019-02-18 09:15:00,91.0,Yes,-3825.0,2019-02-18 14:40:00,Trailing
2019-02-18,NIFTY21FEB1910900CE,SELL,150,11.1,13.319999999999999,2019-02-18 09:15:00,6.2,Yes,735.0,2019-02-18 14:40:00,Trailing
2019-02-18,NIFTY21FEB1910900PE,SELL,150,153.8,184.56,2019-02-18 09:15:00,254.0,Yes,-15030.0,2019-02-18 14:40:00,Trailing
2019-02-18,NIFTY21FEB1910500CE,SELL,150,260.0,312.0,2019-02-18 09:15:00,169.55,Yes,13567.5,2019-02-18 14:40:00,Trailing
2019-02-18,NIFTY21FEB1910500PE,SELL,150,15.0,18.0,2019-02-18 09:15:00,23.6,Yes,-1290.0,2019-02-18 14:40:00,Trailing
2019-02-18,DAILY_TOTAL,,900,619.0,742.8,,596.55,,3367.5,,Trailing
2019-02-20,NIFTY21FEB1910650CE,SELL,150,54.0,64.8,2019-02-20 09:15:00,47.7,Yes,945.0,2019-02-20 09:16:00,Trailing
2019-02-20,NIFTY21FEB1910650PE,SELL,150,40.0,48.0,2019-02-20 09:15:00,42.1,Yes,-315.0,2019-02-20 09:16:00,Trailing
2019-02-20,NIFTY21FEB1910850CE,SELL,150,2.2,2.64,2019-02-20 09:15:00,1.7,Yes,75.0,2019-02-20 09:16:00,Trailing
2019-02-20,NIFTY21FEB1910850PE,SELL,150,169.4,203.28,2019-02-20 09:23:00,169.9,Yes,-75.0,2019-02-20 09:16:00,Trailing
2019-02-20,NIFTY21FEB1910450CE,SELL,150,212.4,254.88,2019-02-20 13:02:00,244.95,Yes,-4882.5,2019-02-20 09:16:00,Trailing
2019-02-20,NIFTY21FEB1910450PE,SELL,150,10.05,12.06,2019-02-20 09:15:00,3.05,Yes,1050.0,2019-02-20 09:16:00,Trailing
2019-02-20,DAILY_TOTAL,,900,488.05,585.66,,509.4,,-3202.5,,Trailing
2019-02-19,NIFTY21FEB1910650CE,SELL,150,70.0,84.0,2019-02-19 09:15:00,76.15,Yes,-922.5,2019-02-19 09:16:00,Trailing
2019-02-19,NIFTY21FEB1910650PE,SELL,150,70.35,84.41999999999999,2019-02-19 09:15:00,64.35,Yes,900.0,2019-02-19 09:16:00,Trailing
2019-02-19,NIFTY21FEB1910850CE,SELL,150,9.15,10.98,2019-02-19 09:15:00,9.4,Yes,-37.5,2019-02-19 09:16:00,Trailing
2019-02-19,NIFTY21FEB1910850PE,SELL,150,195.1,234.11999999999998,2019-02-19 09:15:00,194.0,Yes,165.0,2019-02-19 09:16:00,Trailing
2019-02-19,NIFTY21FEB1910450CE,SELL,150,179.15,214.98,2019-02-19 15:06:00,168.05,Yes,1665.0,2019-02-19 09:16:00,Trailing
2019-02-19,NIFTY21FEB1910450PE,SELL,150,15.35,18.419999999999998,2019-02-19 09:15:00,15.0,Yes,52.5,2019-02-19 09:16:00,Trailing
2019-02-19,DAILY_TOTAL,,900,539.1,646.92,,526.95,,1822.5,,Trailing
2019-02-21,NIFTY21FEB1910750CE,SELL,150,32.9,39.48,2019-02-21 09:15:00,13.85,Yes,2857.5,2019-02-21 10:11:00,Trailing
2019-02-21,NIFTY21FEB1910750PE,SELL,150,40.0,48.0,2019-02-21 09:15:00,34.5,Yes,825.0,2019-02-21 10:11:00,Trailing
2019-02-21,NIFTY21FEB1910950CE,SELL,150,0.3,0.36,2019-02-21 09:15:00,0.1,Yes,30.0,2019-02-21 10:11:00,Trailing
2019-02-21,NIFTY21FEB1910950PE,SELL,150,241.15,289.38,2019-02-21 09:16:00,161.0,Yes,12022.5,2019-02-21 10:11:00,Trailing
2019-02-21,NIFTY21FEB1910550CE,SELL,150,175.8,210.96,2019-02-21 09:15:00,222.5,Yes,-7005.0,2019-02-21 10:11:00,Trailing
2019-02-21,NIFTY21FEB1910550PE,SELL,150,1.85,2.22,2019-02-21 09:15:00,0.35,Yes,225.0,2019-02-21 10:11:00,Trailing
2019-02-21,DAILY_TOTAL,,900,492.0,590.4,,432.3,,8955.0,,Trailing
2019-02-12,NIFTY14FEB1910900CE,SELL,150,45.0,54.0,2019-02-12 09:15:00,46.0,Yes,-150.0,2019-02-12 13:18:00,Trailing
2019-02-12,NIFTY14FEB1910900PE,SELL,150,53.3,63.959999999999994,2019-02-12 09:15:00,49.5,Yes,570.0,2019-02-12 13:18:00,Trailing
2019-02-12,NIFTY14FEB1911100CE,SELL,150,2.5,3.0,2019-02-12 09:15:00,1.65,Yes,127.5,2019-02-12 13:18:00,Trailing
2019-02-12,NIFTY14FEB1911100PE,SELL,150,198.95,238.73999999999998,2019-02-12 09:15:00,250.1,Yes,-7672.5,2019-02-12 13:18:00,Trailing
2019-02-12,NIFTY14FEB1910700CE,SELL,150,194.9,233.88,2019-02-12 09:15:00,191.65,Yes,487.5,2019-02-12 13:18:00,Trailing
2019-02-12,NIFTY14FEB1910700PE,SELL,150,4.3,5.159999999999999,2019-02-12 09:15:00,3.95,Yes,52.5,2019-02-12 13:18:00,Trailing
2019-02-12,DAILY_TOTAL,,900,498.95,598.74,,542.85,,-6585.0,,Trailing
2019-02-25,NIFTY28FEB1910850CE,SELL,150,48.05,57.66,2019-02-25 09:15:00,43.05,Yes,750.0,2019-02-25 09:37:00,Trailing
2019-02-25,NIFTY28FEB1910850PE,SELL,150,80.15,96.18,2019-02-25 09:15:00,77.95,Yes,330.0,2019-02-25 09:37:00,Trailing
2019-02-25,NIFTY28FEB1911050CE,SELL,150,3.85,4.62,2019-02-25 09:15:00,4.05,Yes,-30.0,2019-02-25 09:37:00,Trailing
2019-02-25,NIFTY28FEB1911050PE,SELL,150,214.75,257.7,2019-02-25 09:22:00,165.35,Yes,7410.0,2019-02-25 09:37:00,Trailing
2019-02-25,NIFTY28FEB1910650CE,SELL,150,190.0,228.0,2019-02-25 09:15:00,177.0,Yes,1950.0,2019-02-25 09:37:00,Trailing
2019-02-25,NIFTY28FEB1910650PE,SELL,150,19.65,23.58,2019-02-25 09:15:00,15.75,Yes,585.0,2019-02-25 09:37:00,Trailing
2019-02-25,DAILY_TOTAL,,900,556.45,667.74,,483.15,,10995.0,,Trailing
2019-02-27,NIFTY28FEB1910900CE,SELL,150,35.0,42.0,2019-02-27 09:15:00,34.35,Yes,97.5,2019-02-27 11:54:00,
2019-02-27,NIFTY28FEB1910900PE,SELL,150,70.4,84.48,2019-02-27 09:15:00,87.9,Yes,-2625.0,2019-02-27 11:54:00,
2019-02-27,NIFTY28FEB1911100CE,SELL,150,1.2,1.44,2019-02-27 09:15:00,1.15,Yes,7.5,2019-02-27 11:54:00,
2019-02-27,NIFTY28FEB1911100PE,SELL,150,225.0,270.0,2019-02-27 09:15:00,322.2,Yes,-14580.0,2019-02-27 11:54:00,
2019-02-27,NIFTY28FEB1910700CE,SELL,150,174.1,208.92,2019-02-27 09:15:00,174.0,Yes,15.0,2019-02-27 11:54:00,
2019-02-27,NIFTY28FEB1910700PE,SELL,150,19.85,23.82,2019-02-27 09:15:00,31.2,Yes,-1702.5,2019-02-27 11:54:00,Trailing
2019-02-27,DAILY_TOTAL,,900,525.55,630.66,,650.8,,-18787.5,,Trailing
2019-03-01,NIFTY07MAR1910850CE,SELL,150,89.95,107.94,2019-03-01 09:15:00,94.25,Yes,-645.0,2019-03-01 09:30:00,Trailing
2019-03-01,NIFTY07MAR1910850PE,SELL,150,98.95,118.74,2019-03-01 09:15:00,70.65,Yes,4245.0,2019-03-01 09:30:00,Trailing
2019-03-01,NIFTY07MAR1911050CE,SELL,150,17.05,20.46,2019-03-01 09:15:00,15.8,Yes,187.5,2019-03-01 09:30:00,Trailing
2019-03-01,NIFTY07MAR1911050PE,SELL,150,170.15,204.18,2019-03-01 09:21:00,177.7,Yes,-1132.5,2019-03-01 09:30:00,Trailing
2019-03-01,NIFTY07MAR1910650CE,SELL,150,229.0,274.8,2019-03-01 09:19:00,232.35,Yes,-502.5,2019-03-01 09:30:00,Trailing
2019-03-01,NIFTY07MAR1910650PE,SELL,150,13.5,16.2,2019-03-01 09:15:00,23.75,Yes,-1537.5,2019-03-01 09:30:00,Trailing
2019-03-01,DAILY_TOTAL,,900,618.6,742.32,,614.5,,615.0,,Trailing
2019-02-22,NIFTY28FEB1910800CE,SELL,150,75.0,90.0,2019-02-22 09:15:00,70.6,Yes,660.0,2019-02-22 15:10:00,Trailing
2019-02-22,NIFTY28FEB1910800PE,SELL,150,77.95,93.54,2019-02-22 09:15:00,66.8,Yes,1672.5,2019-02-22 15:10:00,Trailing
2019-02-22,NIFTY28FEB1911000CE,SELL,150,11.5,13.799999999999999,2019-02-22 09:15:00,9.6,Yes,285.0,2019-02-22 15:10:00,Trailing
2019-02-22,NIFTY28FEB1911000PE,SELL,150,217.85,261.41999999999996,2019-02-22 09:15:00,197.1,Yes,3112.5,2019-02-22 15:10:00,Trailing
2019-02-22,NIFTY28FEB1910600CE,SELL,150,212.8,255.36,2019-02-22 09:15:00,215.55,Yes,-412.5,2019-02-22 15:10:00,Trailing
2019-02-22,NIFTY28FEB1910600PE,SELL,150,25.6,30.72,2019-02-22 09:15:00,18.1,Yes,1125.0,2019-02-22 15:10:00,Trailing
2019-02-22,DAILY_TOTAL,,900,620.7,744.84,,577.75,,6442.5,,Trailing
2019-02-28,NIFTY28FEB1910850CE,SELL,150,36.0,43.199999999999996,2019-02-28 09:15:00,20.7,Yes,2295.0,2019-02-28 10:45:00,Trailing
2019-02-28,NIFTY28FEB1910850PE,SELL,150,44.0,52.8,2019-02-28 09:15:00,32.4,Yes,1740.0,2019-02-28 10:45:00,Trailing
2019-02-28,NIFTY28FEB1911050CE,SELL,150,0.7,0.84,2019-02-28 09:15:00,0.1,Yes,90.0,2019-02-28 10:45:00,Trailing
2019-02-28,NIFTY28FEB1911050PE,SELL,150,199.65,239.57999999999998,2019-02-28 09:15:00,243.8,Yes,-6622.5,2019-02-28 10:45:00,Trailing
2019-02-28,NIFTY28FEB1910650CE,SELL,150,194.0,232.79999999999998,2019-02-28 09:15:00,159.0,Yes,5250.0,2019-02-28 10:45:00,Trailing
2019-02-28,NIFTY28FEB1910650PE,SELL,150,14.1,16.919999999999998,2019-02-28 09:15:00,1.4,Yes,1905.0,2019-02-28 10:45:00,Trailing
2019-02-28,DAILY_TOTAL,,900,488.45,586.14,,457.4,,4657.5,,Trailing
2019-03-05,NIFTY07MAR1910850CE,SELL,150,55.0,66.0,2019-03-05 09:15:00,54.6,Yes,60.0,2019-03-05 10:14:00,Trailing
2019-03-05,NIFTY07MAR1910850PE,SELL,150,57.0,68.39999999999999,2019-03-05 09:15:00,52.7,Yes,645.0,2019-03-05 10:14:00,Trailing
2019-03-05,NIFTY07MAR1911050CE,SELL,150,6.3,7.56,2019-03-05 09:15:00,3.3,Yes,450.0,2019-03-05 10:14:00,Trailing
2019-03-05,NIFTY07MAR1911050PE,SELL,150,205.0,246.0,2019-03-05 09:22:00,128.3,Yes,11505.0,2019-03-05 10:14:00,Trailing
2019-03-05,NIFTY07MAR1910650CE,SELL,150,195.0,234.0,2019-03-05 09:26:00,343.15,Yes,-22222.5,2019-03-05 10:14:00,Trailing
2019-03-05,NIFTY07MAR1910650PE,SELL,150,11.85,14.219999999999999,2019-03-05 09:15:00,7.1,Yes,712.5,2019-03-05 10:14:00,Trailing
2019-03-05,DAILY_TOTAL,,900,530.15,636.18,,589.15,,-8850.0,,Trailing
2019-02-26,NIFTY28FEB1910800CE,SELL,150,70.95,85.14,2019-02-26 09:16:00,72.9,Yes,-292.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910800PE,SELL,150,50.05,60.059999999999995,2019-02-26 09:15:00,49.7,Yes,52.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1911000CE,SELL,150,7.9,9.48,2019-02-26 09:15:00,5.5,Yes,360.0,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1911000PE,SELL,150,212.0,254.39999999999998,2019-02-26 09:15:00,177.5,Yes,5175.0,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910600CE,SELL,150,200.0,240.0,2019-02-26 09:15:00,237.35,Yes,-5602.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910600PE,SELL,150,11.85,14.219999999999999,2019-02-26 09:15:00,18.0,Yes,-922.5,2019-02-26 15:21:00,Trailing
2019-02-26,DAILY_TOTAL,,900,552.75,663.3,,560.95,,-1230.0,,Trailing
2019-03-07,NIFTY07MAR1911050CE,SELL,150,38.0,45.6,2019-03-07 09:15:00,15.45,Yes,3382.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1911050PE,SELL,150,24.85,29.82,2019-03-07 09:15:00,27.2,Yes,-352.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1911250CE,SELL,150,0.4,0.48,2019-03-07 09:15:00,0.05,Yes,52.5,2019-03-07 09:23:00,Trailing
