date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type,cumulative_pnl,cum_max,drawdown
2019-02-11,DAILY_TOTAL,,900,495.85,595.02,,540.75,,-6735.0,,Trailing,-6735.0,-6735.0,0.0
2019-02-12,DAILY_TOTAL,,900,498.95,598.74,,542.85,,-6585.0,,Trailing,-13320.0,-6735.0,-6585.0
2019-02-15,DAILY_TOTAL,,900,543.7,652.44,,652.85,,-16372.5,,Trailing,-29692.5,-6735.0,-22957.5
2019-02-18,DAILY_TOTAL,,900,619.0,742.8,,596.55,,3367.5,,Trailing,-26325.0,-6735.0,-19590.0
2019-02-19,DAILY_TOTAL,,900,539.1,646.92,,526.95,,1822.5,,Trailing,-24502.5,-6735.0,-17767.5
2019-02-20,DAILY_TOTAL,,900,488.05,585.66,,509.4,,-3202.5,,Trailing,-27705.0,-6735.0,-20970.0
2019-02-21,DAILY_TOTAL,,900,492.0,590.4,,432.3,,8955.0,,Trailing,-18750.0,-6735.0,-12015.0
2019-02-22,DAILY_TOTAL,,900,620.7,744.84,,577.75,,6442.5,,Trailing,-12307.5,-6735.0,-5572.5
2019-02-25,DAILY_TOTAL,,900,556.45,667.74,,483.15,,10995.0,,Trailing,-1312.5,-1312.5,0.0
2019-02-26,DAILY_TOTAL,,900,552.75,663.3,,560.95,,-1230.0,,Trailing,-2542.5,-1312.5,-1230.0
2019-02-27,DAILY_TOTAL,,900,525.55,630.66,,650.8,,-18787.5,,Trailing,-21330.0,-1312.5,-20017.5
2019-02-28,DAILY_TOTAL,,900,488.45,586.14,,457.4,,4657.5,,Trailing,-16672.5,-1312.5,-15360.0
2019-03-01,DAILY_TOTAL,,900,618.6,742.32,,614.5,,615.0,,Trailing,-16057.5,-1312.5,-14745.0
2019-03-05,DAILY_TOTAL,,900,530.15,636.18,,589.15,,-8850.0,,Trailing,-24907.5,-1312.5,-23595.0
2019-03-06,DAILY_TOTAL,,900,525.35,630.42,,467.25,,8715.0,,Trailing,-16192.5,-1312.5,-14880.0
2019-03-07,DAILY_TOTAL,,900,442.45,530.94,,421.7,,3112.5,,Trailing,-13080.0,-1312.5,-11767.5
2019-03-11,DAILY_TOTAL,,900,569.2,683.04,,504.5,,9705.0,,Trailing,-3375.0,-1312.5,-2062.5
2019-03-12,DAILY_TOTAL,,900,447.05,536.46,,441.75,,795.0,,Trailing,-2580.0,-1312.5,-1267.5
2019-03-13,DAILY_TOTAL,,900,474.5,569.4,,468.45,,907.5,,Trailing,-1672.5,-1312.5,-360.0
2019-03-14,DAILY_TOTAL,,900,463.85,556.62,,462.7,,172.5,,Trailing,-1500.0,-1312.5,-187.5
2019-03-15,DAILY_TOTAL,,900,564.45,677.34,,684.3,,-17977.5,,Trailing,-19477.5,-1312.5,-18165.0
2019-03-18,DAILY_TOTAL,,900,554.35,665.22,,502.75,,7740.0,,Trailing,-11737.5,-1312.5,-10425.0
2019-03-19,DAILY_TOTAL,,900,489.9,587.88,,420.25,,10447.5,,Trailing,-1290.0,-1290.0,0.0
2019-03-20,DAILY_TOTAL,,900,462.45,554.94,,409.45,,7950.0,,Trailing,6660.0,6660.0,0.0
2019-03-22,DAILY_TOTAL,,900,595.45,714.54,,693.4,,-14692.5,,Trailing,-8032.5,6660.0,-14692.5
2019-03-25,DAILY_TOTAL,,900,548.85,658.62,,551.5,,-397.5,,Trailing,-8430.0,6660.0,-15090.0
2019-03-26,DAILY_TOTAL,,900,520.5,624.6,,625.1,,-15690.0,,Trailing,-24120.0,6660.0,-30780.0
2019-03-27,DAILY_TOTAL,,900,490.0,588.0,,524.9,,-5235.0,,Trailing,-29355.0,6660.0,-36015.0
2019-03-28,DAILY_TOTAL,,900,444.7,533.64,,454.95,,-1537.5,,Trailing,-30892.5,6660.0,-37552.5
2019-03-29,DAILY_TOTAL,,900,659.0,790.8,,656.9,,315.0,,Trailing,-30577.5,6660.0,-37237.5
2019-04-01,DAILY_TOTAL,,900,648.3,777.96,,646.25,,307.5,,Trailing,-30270.0,6660.0,-36930.0
2019-04-02,DAILY_TOTAL,,900,547.0,656.4,,505.7,,6195.0,,Trailing,-24075.0,6660.0,-30735.0
2019-04-03,DAILY_TOTAL,,900,483.25,579.9,,562.6,,-11902.5,,Trailing,-35977.5,6660.0,-42637.5
2019-04-04,DAILY_TOTAL,,900,463.5,556.2,,417.3,,6930.0,,Trailing,-29047.5,6660.0,-35707.5
2019-04-05,DAILY_TOTAL,,900,562.75,675.3,,528.95,,5070.0,,Trailing,-23977.5,6660.0,-30637.5
2019-04-08,DAILY_TOTAL,,900,566.25,679.5,,566.8,,-82.5,,Trailing,-24060.0,6660.0,-30720.0
2019-04-09,DAILY_TOTAL,,900,449.85,539.82,,542.3,,-13867.5,,Trailing,-37927.5,6660.0,-44587.5
2019-04-10,DAILY_TOTAL,,900,490.2,588.24,,427.85,,9352.5,,Trailing,-28575.0,6660.0,-35235.0
2019-04-11,DAILY_TOTAL,,900,445.35,534.42,,411.45,,5085.0,,Trailing,-23490.0,6660.0,-30150.0
2019-04-12,DAILY_TOTAL,,900,571.9,686.28,,546.7,,3780.0,,Trailing,-19710.0,6660.0,-26370.0
2019-04-15,DAILY_TOTAL,,900,521.8,626.16,,512.95,,1327.5,,Trailing,-18382.5,6660.0,-25042.5
2019-04-16,DAILY_TOTAL,,900,467.35,560.82,,473.85,,-975.0,,Trailing,-19357.5,6660.0,-26017.5
2019-04-18,DAILY_TOTAL,,900,463.5,556.2,,428.5,,5250.0,,Trailing,-14107.5,6660.0,-20767.5
2019-04-22,DAILY_TOTAL,,900,560.0,672.0,,501.1,,8835.0,,Trailing,-5272.5,6660.0,-11932.5
2019-04-23,DAILY_TOTAL,,900,536.3,643.56,,452.2,,12615.0,,Trailing,7342.5,7342.5,0.0
2019-04-24,DAILY_TOTAL,,900,491.15,589.38,,543.45,,-7845.0,,Trailing,-502.5,7342.5,-7845.0
2019-04-25,DAILY_TOTAL,,900,423.15,507.78,,517.3,,-14122.5,,Trailing,-14625.0,7342.5,-21967.5
2019-04-26,DAILY_TOTAL,,900,516.15,619.38,,504.1,,1807.5,,Trailing,-12817.5,7342.5,-20160.0
2019-04-30,DAILY_TOTAL,,900,462.9,555.48,,444.55,,2752.5,,Trailing,-10065.0,7342.5,-17407.5
